a,-0.0688097748465201
low,0.017777777777777795
or,-0.06280428809164446
downcast,-0.1234567901234568
state,-0.0762621700291076
each,-0.10570987654320986
confession,-0.06790123456790122
brought,-0.09722222222222217
her,0.023242526272829345
into,-0.07262583095916428
an,-0.07458370370370365
attitude,-0.07555555555555551
of,-0.07153366982864015
abasement,-0.1234567901234568
-,-0.04543209876543205
degradation,-0.1234567901234568
abjection,-0.1234567901234568
degeneracy,-0.1234567901234568
degeneration,-0.1234567901234568
decadence,-0.1234567901234568
decadency,-0.1234567901234568
depth,-0.055144032921810665
humiliation,-0.07160493827160493
depriving,-0.11975308641975306
one,-0.07951223206846927
self-esteem,-0.23539094650205758
comedown,-0.1234567901234568
debasement,-0.1234567901234568
the,-0.06549064677480011
superior,-0.04987654320987652
group,-0.099745247893396
nuns,0.13827160493827173
abbess,0.35308641975308647
prioress,0.35308641975308647
mother,0.25532693187014177
formal,0.08712522045855381
resignation,-0.14814814814814806
and,-0.0658047695728854
renunciation,-0.14814814814814806
powers,-0.15414462081128746
abdication,-0.14814814814814806
act,-0.10695169442373015
abdicating,-0.14814814814814806
region,0.0014109347442680976
body,-0.05447669892114328
vertebrate,-0.10440917107583769
between,-0.04498456790123452
thorax,-0.04444444444444438
pelvis,-0.04444444444444438
abdomen,0.13333333333333344
venter,-0.09259259259259253
stomach,0.0353909465020577
belly,-0.04444444444444438
underbelly,-0.04444444444444438
underbody,-0.04444444444444438
cavity,-0.08543209876543205
containing,-0.13181386514719845
major,-0.02770919067215358
viscera,-0.04444444444444438
in,-0.06018155410312272
mammals,-0.0429012345679012
it,-0.03199023199023195
is,-0.08206106870228996
separated,-0.03127572016460901
from,-0.06220939554272882
by,-0.0966213470854821
diaphragm,-0.04444444444444438
cavum,-0.0716049382716049
criminal,-0.30397805212620027
capturing,-0.1407407407407407
carrying,-0.026543209876543156
away,-0.09777777777777774
force,-0.2228909465020575
family,0.04537037037037042
member,-0.11234567901234563
if,-0.12482269503546094
man,-0.05447530864197527
wife,0.1881172839506173
abducted,-0.1407407407407407
crime,-0.2604938271604938
against,-0.10617283950617282
relationship,-0.0032921810699587948
abduction,-0.1407407407407407
capture,-0.09228395061728392
seizure,-0.2279835390946502
physiology,-0.1407407407407407
moving,-0.020512820512820464
part,-0.06760093426760089
central,-0.057739791073124366
axis,-0.053909465020576135
motion,0.02148148148148155
movement,-0.15218855218855215
move,-0.188994708994709
motility,-0.1407407407407407
condition,-0.018224573780129295
markedly,-0.2864197530864197
different,-0.03350970017636679
norm,-0.09999999999999995
aberrance,-0.09135802469135794
aberrancy,-0.09135802469135794
aberration,-0.09135802469135794
deviance,-0.09135802469135794
deflection,-0.09135802469135794
warp,-0.2395061728395061
abnormality,-0.09135802469135794
abnormalcy,-0.09135802469135794
disorder,-0.2271604938271605
mental,-0.05132275132275127
disturbance,-0.18784425451092118
folie,-0.06790123456790116
optical,0.03209876543209879
phenomenon,-0.04561403508771925
resulting,-0.11373456790123451
failure,-0.07297668038408775
lens,-0.03950617283950615
mirror,0.16728395061728402
to,-0.06135504706933285
produce,0.07301587301587305
good,-0.030358227079538527
image,0.053223593964334764
distortion,-0.09711934156378595
quality,-0.0172501268391679
being,-0.05852688847039127
able,-0.11209876543209871
perform,-0.17004115226337443
that,-0.08004189508401298
permits,-0.019753086419752996
facilitates,-0.182716049382716
achievement,-0.14567901234567898
accomplishment,-0.13950617283950612
ability,-0.06812985825331498
adaptability,0.0913580246913581
capability,-0.1271604938271604
capableness,-0.13395061728395052
competence,-0.0037037037037036813
competency,-0.0037037037037036813
contractility,-0.019753086419752996
form,-0.05793855871375248
immunocompetence,-0.019753086419752996
interoperability,-0.019753086419752996
penetration,-0.10534979423868304
sensitivity,0.04753086419753089
sensitiveness,0.10740740740740747
totipotency,-0.019753086419752996
totipotence,-0.019753086419752996
possession,-0.16334283000949668
qualities,-0.11308641975308636
especially,-0.044361215147731975
required,-0.07037037037037033
do,0.007407407407407439
something,-0.0565002683843263
get,-0.11500974658869395
done,-0.08296296296296292
danger,-0.2018518518518518
heightened,-0.06502057613168719
his,-0.042342904702455234
discrimination,-0.08543209876543204
power,-0.22176638176638175
aptitude,-0.15802469135802463
bilingualism,-0.21481481481481474
capacity,-0.0953703703703703
creativity,-0.15740740740740736
creativeness,-0.15740740740740736
faculty,-0.03425925925925922
module,-0.018518518518518486
hand,-0.12368125701459032
intelligence,-0.1251028806584362
know-how,-0.1497942386831275
leadership,-0.12962962962962954
originality,-0.14609053497942384
skill,-0.14391534391534389
acquirement,-0.21481481481481474
acquisition,-0.07818930041152257
attainment,-0.21481481481481474
science,-0.1499675113710201
cognition,-0.08193041526374853
knowledge,-0.11851851851851843
noesis,-0.09931412894375852
any,-0.03867584398557846
address,0.028257887517146817
at,-0.07650182771225593
which,-0.05146090534979422
you,-0.05681277607883108
dwell,0.03209876543209877
more,-0.09668615984405453
than,-0.08919123204837485
temporarily,0.003703703703703789
person,-0.06930563720687173
can,-0.08463256907701347
have,-0.044602722380500115
several,-0.07868312757201641
residences,-0.019753086419752996
residence,0.0705761316872428
abode,0.10518518518518521
domicile,0.0962962962962963
home,0.11764132553606237
place,-0.05810397553516815
housing,0.024691358024691395
someone,-0.0942890132338573
living,-0.08034188034188033
he,-0.04504334121355395
built,-0.02160493827160492
modest,0.07777777777777782
dwelling,0.05050505050505053
near,-0.01460905349794234
pond,0.05333333333333338
they,-0.051905528717122874
raise,-0.04561403508771924
money,-0.08521529659741041
provide,-0.07699805068226119
homes,0.07777777777777782
for,-0.06099038768165457
